Wavelength (nm)	Band 1p	Band 1	Band 2	Band 3	Band 4	Band 4p	Band 5p	Band 5	Band 7	Pan
617	0.00000	0.00000	0.00901	0.01759	0.00000	0.00000	0.00000	0.00000	0.00000	0.89491
618	0.00000	0.00000	0.00626	0.02448	0.00000	0.00000	0.00000	0.00000	0.00000	0.90017
619	0.00000	0.00000	0.00432	0.03337	0.00000	0.00000	0.00000	0.00000	0.00000	0.90109
620	0.00000	0.00000	0.00292	0.04550	0.00000	0.00000	0.00000	0.00000	0.00000	0.90273
621	0.00000	0.00000	0.00207	0.06016	0.00000	0.00000	0.00000	0.00000	0.00000	0.90351
622	0.00000	0.00000	0.00147	0.07930	0.00000	0.00000	0.00000	0.00000	0.00000	0.90720
623	0.00000	0.00000	0.00102	0.10217	0.00000	0.00000	0.00000	0.00000	0.00000	0.91298
624	0.00000	0.00000	0.00075	0.13175	0.00000	0.00000	0.00000	0.00000	0.00000	0.91871
625	0.00000	0.00000	0.00059	0.16791	0.00000	0.00000	0.00000	0.00000	0.00000	0.92525
626	0.00000	0.00000	0.00044	0.21572	0.00000	0.00000	0.00000	0.00000	0.00000	0.92660
627	0.00000	0.00000	0.00034	0.27544	0.00000	0.00000	0.00000	0.00000	0.00000	0.92259
628	0.00000	0.00000	0.00026	0.35354	0.00000	0.00000	0.00000	0.00000	0.00000	0.91491
629	0.00000	0.00000	0.00021	0.44384	0.00000	0.00000	0.00000	0.00000	0.00000	0.90655
630	0.00000	0.00000	0.00017	0.54546	0.00000	0.00000	0.00000	0.00000	0.00000	0.89971
631	0.00000	0.00000	0.00000	0.64489	0.00000	0.00000	0.00000	0.00000	0.00000	0.89732
632	0.00000	0.00000	0.00000	0.73004	0.00000	0.00000	0.00000	0.00000	0.00000	0.89993
633	0.00000	0.00000	0.00000	0.79863	0.00000	0.00000	0.00000	0.00000	0.00000	0.91063
634	0.00000	0.00000	0.00000	0.83734	0.00000	0.00000	0.00000	0.00000	0.00000	0.92393
635	0.00000	0.00000	0.00000	0.85565	0.00000	0.00000	0.00000	0.00000	0.00000	0.93691
636	0.00000	0.00000	0.00000	0.86014	0.00000	0.00000	0.00000	0.00000	0.00000	0.95009
637	0.00000	0.00000	0.00000	0.85607	0.00000	0.00000	0.00000	0.00000	0.00000	0.95519
638	0.00000	0.00000	0.00000	0.85171	0.00000	0.00000	0.00000	0.00000	0.00000	0.95862
639	0.00000	0.00000	0.00000	0.84349	0.00000	0.00000	0.00000	0.00000	0.00000	0.96003
640	0.00000	0.00000	0.00000	0.84554	0.00000	0.00000	0.00000	0.00000	0.00000	0.96305
641	0.00000	0.00000	0.00000	0.85532	0.00000	0.00000	0.00000	0.00000	0.00000	0.96282
642	0.00000	0.00000	0.00000	0.86361	0.00000	0.00000	0.00000	0.00000	0.00000	0.96433
643	0.00000	0.00000	0.00000	0.88001	0.00000	0.00000	0.00000	0.00000	0.00000	0.96907
644	0.00000	0.00000	0.00000	0.89600	0.00000	0.00000	0.00000	0.00000	0.00000	0.96909
645	0.00000	0.00000	0.00000	0.90471	0.00000	0.00000	0.00000	0.00000	0.00000	0.96505
646	0.00000	0.00000	0.00000	0.91358	0.00000	0.00000	0.00000	0.00000	0.00000	0.96173
647	0.00000	0.00000	0.00000	0.92119	0.00000	0.00000	0.00000	0.00000	0.00000	0.95182
648	0.00000	0.00000	0.00000	0.92226	0.00000	0.00000	0.00000	0.00000	0.00000	0.94484
649	0.00000	0.00000	0.00000	0.92710	0.00000	0.00000	0.00000	0.00000	0.00000	0.93534
650	0.00000	0.00000	0.00000	0.93298	0.00000	0.00000	0.00000	0.00000	0.00000	0.93579
651	0.00000	0.00000	0.00000	0.93059	0.00000	0.00000	0.00000	0.00000	0.00000	0.94039
652	0.00000	0.00000	0.00000	0.93710	0.00000	0.00000	0.00000	0.00000	0.00000	0.95425
653	0.00000	0.00000	0.00000	0.92905	0.00000	0.00000	0.00000	0.00000	0.00000	0.96930
654	0.00000	0.00000	0.00000	0.92086	0.00000	0.00000	0.00000	0.00000	0.00000	0.98034
655	0.00000	0.00000	0.00000	0.90809	0.00000	0.00000	0.00000	0.00000	0.00000	0.99100
656	0.00000	0.00000	0.00000	0.89671	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000
657	0.00000	0.00000	0.00000	0.88900	0.00000	0.00000	0.00000	0.00000	0.00000	0.99738
658	0.00000	0.00000	0.00000	0.88949	0.00000	0.00000	0.00000	0.00000	0.00000	0.99197
659	0.00000	0.00000	0.00000	0.89394	0.00000	0.00000	0.00000	0.00000	0.00000	0.98417
660	0.00000	0.00000	0.00000	0.90559	0.00000	0.00000	0.00000	0.00000	0.00000	0.97323
661	0.00000	0.00000	0.00000	0.92354	0.00000	0.00000	0.00000	0.00000	0.00000	0.96243
662	0.00000	0.00000	0.00000	0.93587	0.00000	0.00000	0.00000	0.00000	0.00000	0.94622
663	0.00000	0.00000	0.00000	0.94358	0.00000	0.00000	0.00000	0.00000	0.00000	0.92725
664	0.00000	0.00000	0.00000	0.94627	0.00000	0.00000	0.00000	0.00000	0.00000	0.90348
665	0.00000	0.00000	0.00000	0.94172	0.00000	0.00000	0.00000	0.00000	0.00000	0.87391
666	0.00000	0.00000	0.00000	0.93366	0.00000	0.00000	0.00000	0.00000	0.00000	0.84001
667	0.00000	0.00000	0.00000	0.92460	0.00000	0.00000	0.00000	0.00000	0.00000	0.81078
668	0.00000	0.00000	0.00000	0.92369	0.00000	0.00000	0.00000	0.00000	0.00000	0.78992
669	0.00000	0.00000	0.00000	0.92638	0.00000	0.00000	0.00000	0.00000	0.00000	0.78176
670	0.00000	0.00000	0.00000	0.93358	0.00000	0.00000	0.00000	0.00000	0.00000	0.79121
671	0.00000	0.00000	0.00000	0.94790	0.00000	0.00000	0.00000	0.00000	0.00000	0.82587
672	0.00000	0.00000	0.00000	0.96099	0.00000	0.00000	0.00000	0.00000	0.00000	0.87759
673	0.00000	0.00000	0.00000	0.97228	0.00000	0.00000	0.00000	0.00000	0.00000	0.92530
